trials.thisRepN,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,"Accuracy (1=correct, 0=incorrect)"
0,10,13.2500296,13.2500296,0.0290879,[-0.11018518518518519],[0.32314814814814813],[1],[0],[0],2.32968970000,['target'],1
1,10,15.6163945,15.6163945,0.0259384,[-0.2898148148148148],[-0.18703703703703703],[1],[0],[0],1.83449600000,['target'],1
2,5,17.4628828,17.4628828,0.0136695,[-0.2490740740740741],[0.07407407407407407],[1],[0],[0],1.63483179999,['target'],1
3,10,19.1328232,19.1328232,0.0265779,[0.03796296296296296],[-0.1712962962962963],[1],[0],[0],1.05438400000,['target'],1
4,5,20.1961747,20.1961747,0.0124273,[0.2462962962962963],[0.2722222222222222],[1],[0],[0],1.08385859999,['target'],1
5,5,21.2956023,21.2956023,0.0120521,[0.09444444444444444],[0.3972222222222222],[1],[0],[0],1.28657130001,['target'],1
6,5,22.5992931,22.5992931,0.012871,[-0.027777777777777776],[-0.4648148148148148],[1],[0],[0],1.58279570000,['target'],1
7,10,24.2211222,24.2211222,0.0257439,[-0.3814814814814815],[-0.2898148148148148],[1],[0],[0],4.05448510000,['target'],1
8,10,28.3010777,28.3010777,0.0260079,[-0.20277777777777778],[-0.325],[1],[0],[0],1.10543329999,['target'],1
9,10,29.4324545,29.4324545,0.0224805,[0.3388888888888889],[-0.4898148148148148],[1],[0],[0],2.30912590001,['target'],1
10,10,31.7716738,31.7716738,0.0286698,[-0.20555555555555555],[0.3101851851851852],[1],[0],[0],1.48602539999,['target'],1
11,5,33.2700229,33.2700229,0.012158,[0.36203703703703705],[-0.36574074074074076],[1],[0],[0],1.68466030000,['target'],1
12,10,34.9889051,34.9889051,0.0263392,[-0.3990740740740741],[0.16296296296296298],[1],[0],[0],1.90561300000,['target'],1
13,5,36.9014209,36.9014209,0.0127392,[-0.2],[-0.07592592592592592],[1],[0],[0],1.05134229999,['target'],1
14,5,37.9712372,37.9712372,0.0147246,[0.49722222222222223],[-0.03148148148148148],[1],[0],[0],1.66467570000,['target'],1
15,5,39.6531733,39.6531733,0.0118765,[-0.19074074074074074],[0.002777777777777778],[1],[0],[0],1.13439510000,['target'],1
16,5,40.8103187,40.8103187,0.0161653,[-0.24444444444444444],[-0.04722222222222222],[1],[0],[0],0.78039589999,['target'],1
17,10,41.6232013,41.6232013,0.0239754,[0.2222222222222222],[0.23796296296296296],[1],[0],[0],1.80730520000,['target'],1
18,5,43.4395808,43.4395808,0.0129673,[0.14629629629629629],[0.37407407407407406],[1],[0],[0],1.70072260000,['target'],1
19,5,45.1541407,45.1541407,0.0118851,[-0.26666666666666666],[-0.05555555555555555],[1],[0],[0],1.30236070001,['target'],1
20,10,46.4917643,46.4917643,0.0252551,[-0.3],[-0.35462962962962963],[1],[0],[0],2.59081600000,['target'],1
21,10,49.1092346,49.1092346,0.0231028,[-0.4666666666666667],[-0.011111111111111112],[1],[0],[0],1.69040840000,['target'],1
22,10,50.8261608,50.8261608,0.0254676,[-0.05277777777777778],[-0.22314814814814815],[1],[0],[0],2.47276070001,['target'],1
23,10,53.3317503,53.3317503,0.0297514,[0.39166666666666666],[-0.22407407407407406],[1],[0],[0],1.76853830001,['target'],1
24,10,55.1264579,55.1264579,0.0234968,[-0.2601851851851852],[-0.1175925925925926],[1],[0],[0],1.85802679999,['target'],1
25,10,57.0181116,57.0181116,0.0314491,[-0.21203703703703702],[-0.05740740740740741],[1],[0],[0],1.06560170000,['target'],1
26,5,58.095654,58.095654,0.0142355,[-0.08055555555555556],[-0.11574074074074074],[1],[0],[0],0.95001639999,['target'],1
27,10,59.0771547,59.0771547,0.0223106,[-0.09907407407407408],[0.37962962962962965],[1],[0],[0],2.24234950001,['target'],1
28,10,61.347109,61.347109,0.0246691,[0.15833333333333333],[0.27685185185185185],[1],[0],[0],1.80713220000,['target'],1
29,5,63.1612928,63.1612928,0.0123375,[-0.1675925925925926],[0.3990740740740741],[1],[0],[0],1.68580380001,['target'],1
30,10,64.8885942,64.8885942,0.030249,[0.17314814814814813],[-0.4027777777777778],[1],[0],[0],2.03405750000,['target'],1
31,10,66.9463752,66.9463752,0.0230304,[-0.026851851851851852],[-0.44907407407407407],[1],[0],[0],1.19164910000,['target'],1
32,5,68.1475626,68.1475626,0.012549,[-0.175],[-0.05925925925925926],[1],[0],[0],1.45231519999,['target'],1
33,10,69.6383473,69.6383473,0.0295995,[0.25555555555555554],[0.16296296296296298],[1],[0],[0],1.83472010000,['target'],1
34,10,71.5026745,71.5026745,0.0251182,[-0.021296296296296296],[-0.1962962962962963],[1],[0],[0],2.98905660000,['target'],1
35,5,74.5014961,74.5014961,0.0132535,[-0.24074074074074073],[-0.14629629629629629],[1],[0],[0],1.31739800000,['target'],1
36,5,75.8389663,75.8389663,0.0163755,[0.3037037037037037],[-0.010185185185185186],[1],[0],[0],1.36495950000,['target'],1
37,5,77.2188434,77.2188434,0.0121154,[-0.4861111111111111],[-0.007407407407407408],[1],[0],[0],1.10133710000,['target'],1
38,10,78.3572899,78.3572899,0.0262689,[0.1787037037037037],[-0.20833333333333334],[1],[0],[0],1.33547050001,['target'],1
39,5,79.700915,79.700915,0.0118741,[0.20092592592592592],[-0.17037037037037037],[1],[0],[0],0.86992420000,['target'],1
40,10,80.6073462,80.6073462,0.0281857,[0.25092592592592594],[-0.05185185185185185],[1],[0],[0],2.21917289999,['target'],1
41,10,82.8546618,82.8546618,0.0224977,[0.14351851851851852],[-0.15925925925925927],[1],[0],[0],0.90777939999,['target'],1
42,5,83.7701394,83.7701394,0.0122786,[0.20925925925925926],[0.3055555555555556],[1],[0],[0],1.28523420000,['target'],1
43,5,85.0826772,85.0826772,0.0223068,[0.20185185185185187],[-0.4046296296296296],[1],[0],[0],1.40696569999,['target'],1
44,10,86.5281786,86.5281786,0.0275017,[0.07222222222222222],[-0.05648148148148148],[1],[0],[0],0.93431780000,['target'],1
45,10,87.4912682,87.4912682,0.0248911,[0.20925925925925926],[-0.11481481481481481],[1],[0],[0],0.85791090000,['target'],1
46,5,88.3631071,88.3631071,0.0163977,[0.3138888888888889],[0.4722222222222222],[1],[0],[0],1.47969720000,['target'],1
47,5,89.8592217,89.8592217,0.0122585,[0.39444444444444443],[0.47962962962962963],[1],[0],[0],0.96875120001,['target'],1
48,5,90.8400082,90.8400082,0.0125271,[0.21203703703703702],[0.3509259259259259],[1],[0],[0],1.25104460001,['target'],1
49,5,92.1105696,92.1105696,0.013751,[0.041666666666666664],[-0.3277777777777778],[1],[0],[0],1.53223850000,['target'],1
50,10,93.6899018,93.6899018,0.0336123,[-0.5083333333333333],[0.032407407407407406],[1],[0],[0],1.77992020000,['target'],1
51,5,95.479772,95.479772,0.0158119,[-0.05],[0.1388888888888889],[1],[0],[0],1.08146950000,['target'],1
52,5,96.5747365,96.5747365,0.0124424,[0.16111111111111112],[0.22962962962962963],[1],[0],[0],1.26689679999,['target'],1
53,5,97.8654814,97.8654814,0.0174635,[-0.12037037037037036],[0.012037037037037037],[1],[0],[0],1.19663080001,['target'],1
54,10,99.0993885,99.0993885,0.0283053,[-0.3509259259259259],[-0.001851851851851852],[1],[0],[0],1.31982850000,['target'],1
55,10,100.4511251,100.4511251,0.0282854,[0.2574074074074074],[0.31574074074074077],[1],[0],[0],1.63465389999,['target'],1
56,5,102.0924732,102.0924732,0.0117618,[-0.32037037037037036],[-0.325],[1],[0],[0],1.43662280000,['target'],1
57,10,103.5644621,103.5644621,0.0238925,[0.27870370370370373],[0.012962962962962963],[1],[0],[0],4.67359370000,['target'],1
58,10,108.2621175,108.2621175,0.0224343,[-0.05277777777777778],[-0.41944444444444445],[1],[0],[0],1.39222810000,['target'],1
59,5,109.6626355,109.6626355,0.0131125,[0.11018518518518519],[0.4675925925925926],[1],[0],[0],2.46893969999,['target'],1
60,10,112.1654887,112.1654887,0.0230032,[0.2814814814814815],[-0.37592592592592594],[1],[0],[0],1.32397730000,['target'],1
61,10,113.5175781,113.5175781,0.0254597,[0.18518518518518517],[0.19537037037037036],[1],[0],[0],1.35710020000,['target'],1
62,5,114.8831073,114.8831073,0.0121704,[-0.3925925925925926],[-0.49166666666666664],[1],[0],[0],1.61727369999,['target'],1
63,10,116.5364758,116.5364758,0.0277266,[0.4287037037037037],[0.2712962962962963],[1],[0],[0],2.00319350000,['target'],1
64,10,118.5665789,118.5665789,0.0222023,[-0.4111111111111111],[-0.14074074074074075],[1],[0],[0],1.99226740000,['target'],1
65,10,120.5822289,120.5822289,0.0218057,[0.3925925925925926],[-0.1935185185185185],[1],[0],[0],1.59287420000,['target'],1
